Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
4.9002876;5.1600895;3.8113184;67.1510468;5.0429506;141.7709198;0.56;0.40;-0.5348211;-0.6805586;1.1586338;-0.8290991;-0.3196386;-0.5704584;-0.4880820;0.8143868;0.2530578;1.4462454;1.0559341;0.9825926;28.7235290;42.2772110;22.9860268;24.1609516;20.5636845;5.1998348;5.2498322;6.2497997
-13.7906914;8.9291363;5.8657560;66.7358322;5.0325351;170.0041046;0.47;0.31;0.7517448;-1.1058531;0.9001302;0.4043704;-0.4400295;-0.8783078;-0.7838520;-0.5871592;-0.0667183;1.6119137;1.0623399;0.9816472;26.5377909;43.5763747;26.3808098;24.1384525;24.8134117;6.1998010;6.3997955;5.8998108
-2.6838093;-2.7089424;0.9110394;66.4588623;5.0255632;137.5411835;0.58;0.58;-0.9543432;-0.3530435;0.7251614;-0.5602240;-0.3992670;-0.9316610;-0.4329174;0.9067692;-0.1282788;1.2495078;1.1581266;1.0129676;33.6993545;41.5685624;21.1286449;23.8634701;20.9361591;5.4998245;4.9998398;5.4998226
-12.5150003;2.1739731;-3.5182257;66.0407791;5.0150027;137.8411560;0.57;0.53;-0.8903517;0.9540156;0.2458536;-0.6493579;-0.3642275;-0.9382742;-0.4634755;-0.5724772;0.5429899;1.3278990;1.1977837;0.9150834;29.4690281;42.7631974;21.8885975;21.6711102;22.1860790;5.7498159;5.4998245;5.2998295
10.9635544;9.1583710;5.4520559;65.4673309;5.0004454;139.1910858;0.56;0.53;0.5809793;0.3285751;-1.1359198;0.4595470;-1.0896086;-0.0801385;0.7493960;0.2818742;0.4648218;1.3175024;1.1852647;0.9258006;29.8807889;42.5232053;24.3659382;21.3961277;20.4761887;5.0498352;5.4998226;5.7998142
-13.8465319;9.8998070;-1.4917421;65.3238449;4.9967895;135.4663239;0.58;0.52;-0.5446213;1.1001935;-0.3514205;1.0203710;0.4603117;-0.1402420;-0.0052508;0.3057574;0.9653733;1.2769239;1.1281452;1.0126504;32.6798677;41.2084013;21.6561127;20.0362148;22.7435436;5.3998270;5.8498135;4.7498474
4.7387695;6.7506523;8.5694075;65.1038666;4.9911742;168.0892334;0.47;0.39;-1.2934033;0.2186693;0.4974191;-0.3443524;-0.9711874;-0.4684533;0.2509668;-0.5124066;0.8778290;1.4029020;1.1319152;1.0469615;30.7063043;41.1456704;23.9684639;24.3459396;24.4884319;6.1498032;5.9998093;5.9998074
9.0154114;8.1959782;1.5488997;64.9856262;4.9881506;136.6462402;0.57;0.54;0.0066118;-0.9975429;0.8425480;1.1104313;-0.0619024;-0.0820039;0.0911359;0.6368807;0.7533260;1.3057652;1.1151745;0.9906679;32.2788805;42.5456792;21.2736359;20.3411961;22.2610760;5.2498302;5.4498253;5.5498199
-2.9078388;9.5849514;8.7022123;64.8650131;4.9850626;167.8892365;0.47;0.32;-1.1910903;0.2267634;0.6077877;0.1315830;1.1422733;-0.1683131;-0.4871128;-0.0801416;-0.9247015;1.3562905;1.1620808;1.0482244;28.7291944;37.1725082;23.7284794;24.1059551;26.6257954;5.6998177;5.8998108;5.6998177
-4.7276573;2.1795139;-4.3954515;64.8648911;4.9850597;137.2811890;0.57;0.48;0.0589522;0.7918290;1.0858370;-0.9437747;-0.5204823;0.4307926;-0.5354672;0.6204950;-0.4234143;1.3451805;1.1606872;0.9225067;29.0503055;42.3605621;22.7985382;22.2960701;20.5211868;5.0998363;5.3998280;5.9498100
