Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
8.1619911;-10.4230995;5.4159880;60.9221382;4.8819370;130.3866272;0.57;0.43;0.9542188;0.3773841;0.8341370;-0.7601833;0.3837265;0.6960115;0.0374609;0.8470235;-0.4260680;1.3223982;1.0997984;0.9488868;29.2849153;40.8123702;18.3838215;22.6135483;19.8187294;5.8998108;4.8498445;5.1498337
12.1055374;6.5208397;7.4859324;60.4604301;4.8695726;141.0159607;0.53;0.38;0.2167032;1.2056888;-0.6940526;0.5631312;-0.5833729;-0.8375933;-0.7288590;-0.1078442;-0.4149148;1.4079612;1.1657629;0.8455886;25.2029657;41.9646114;25.5808601;16.8139210;22.0585861;4.6998482;6.4497948;5.9998055
9.8262806;-4.6606312;-8.9724712;60.4215584;4.8685293;123.8370514;0.60;0.47;1.3074602;-0.1947851;0.2465889;-0.0520752;0.6437301;0.7846066;0.2261575;0.7539517;-0.6035689;1.3446931;1.0162224;0.9919102;31.6942126;42.9665804;16.6914291;21.3236313;21.0536499;5.6998158;4.5498543;4.9498405
3.8905106;2.5669136;-8.2449465;59.9853516;4.8567848;124.7469940;0.59;0.55;0.4258262;-0.2077723;1.1058989;-0.7094872;0.8160650;0.4265074;0.6778997;0.6608939;-0.1368588;1.2031249;1.1624297;0.9565872;32.3672801;40.7091826;20.3036976;20.4986839;18.5963078;4.9498405;4.8498459;5.4498243
-8.5372963;-0.7422256;9.5300665;59.9139824;4.8548579;128.6917419;0.58;0.40;-0.3945311;0.0460497;1.2931832;-0.1166310;-1.0907861;0.0032601;0.8763109;-0.0928896;0.2706573;1.3528112;1.0970086;0.9218485;28.0186772;41.1173612;23.0435238;19.8012295;18.2463303;4.6498518;5.2498322;6.1498013
8.5360336;-2.1308384;-5.7538261;59.7508736;4.8504481;127.8717957;0.58;0.41;1.2681460;0.2195800;0.3771641;-0.3454901;0.4700321;0.8880016;-0.0117546;0.8340070;-0.4460253;1.3411423;1.0624690;0.9458564;29.0022820;41.1227167;16.8214226;22.1160793;21.0236530;5.7998161;4.4998569;4.9498420
7.7218399;-6.3822021;-1.5416012;59.1203117;4.8333254;123.6920624;0.59;0.54;-1.0578060;0.5912997;0.3552578;0.4104984;0.1687384;0.9414367;-0.3755758;-0.8632355;0.3184858;1.2628527;1.0408096;0.9938138;33.3861738;42.4242675;18.4613171;20.4661865;20.2861996;5.7498169;4.6498508;4.9498405
4.9012890;-4.2347584;-9.6729183;58.5669899;4.8181992;122.3471527;0.60;0.47;-0.4020404;0.1870047;1.1689810;-1.1469004;0.0947158;-0.4095983;0.1045263;0.8400261;-0.0984319;1.2502494;1.2215246;0.8522080;27.4866849;40.3249115;17.6988659;23.6809807;16.5839367;5.2998314;4.0498714;5.7498150
13.2964725;6.1815052;-0.6841669;58.2621422;4.8098249;132.1715240;0.55;0.34;0.8935655;0.1916602;1.1172717;0.2412694;-1.0859145;-0.0066800;0.6209080;0.1411576;-0.5208011;1.4434296;1.1124144;0.8226092;23.9125594;41.9592828;22.8360367;19.5762424;20.4161911;5.2498283;5.1498375;5.7998142
6.1062107;4.7541809;-10.2895393;58.1429062;4.8065414;122.3721466;0.59;0.49;0.7620567;-0.3151759;0.9812164;0.6857307;-0.4762019;-0.6855298;-0.4681018;-0.8188037;0.1005415;1.2817378;1.0802528;0.9485080;31.0803324;41.9994771;19.5987434;21.1861401;17.8388557;5.4498253;4.3498611;5.3998270
12.9900455;-11.2753143;-10.1763763;57.9349251;4.8008037;124.4720154;0.58;0.43;1.0690429;0.5053072;0.7403882;0.4037317;-0.9666139;0.0767577;0.4493922;0.1291734;-0.7370347;1.3951211;1.0503491;0.8728455;27.3584127;43.7285841;19.1037750;19.0762749;21.2961349;5.4998226;5.1498346;5.0498381
12.2265797;-12.9226551;-0.6539373;57.7988129;4.7970409;125.1369705;0.58;0.46;0.7787480;0.4062470;0.8989328;0.4759810;-1.0736107;0.0728441;-0.5834822;-0.2177127;0.6038613;1.2568076;1.1766496;0.8674669;27.8772831;40.3892994;20.1712074;18.1288357;20.7586689;4.9498405;5.3998270;5.0498371
-6.5636683;9.3485107;11.7698717;57.6803246;4.7937608;127.4668274;0.57;0.40;-0.7652131;0.2549258;1.1488470;0.1434032;1.0542719;-0.1384232;-0.7073945;0.0333839;-0.4785824;1.4037050;1.0729468;0.8547295;26.3231784;43.2300210;21.9360943;19.5437450;18.5863094;4.9498415;4.8498459;5.5998211
11.2412949;-8.9522200;-3.2190008;57.3966026;4.7858877;130.6466217;0.55;0.25;0.7982391;-0.0307444;1.2771523;-0.0215008;-1.0067182;-0.0107961;0.7313057;-0.0107142;-0.4573348;1.5064026;1.0070056;0.8625996;22.7574229;39.7424757;23.0160255;21.5161190;18.3413239;5.0998363;4.8998432;7.2497673
9.6368275;-8.6237526;-8.9803505;57.0600090;4.7765141;121.7721939;0.59;0.56;-1.2073790;-0.0388506;0.0646751;-0.0261759;-0.6059942;-0.8526855;0.0572467;-0.8162770;0.5783617;1.2097340;1.0464162;1.0020417;34.5924079;41.7623430;17.1738987;20.4961834;19.6737385;5.4998226;4.4498577;5.0498385
8.3405533;-6.2097654;-5.7433081;57.0525093;4.7763047;121.0422363;0.59;0.47;0.9543157;-0.1102263;0.8595700;-0.3680008;0.8731958;0.5205371;-0.5271865;-0.5305334;0.5172628;1.2890806;1.0811356;0.9093690;29.7069252;42.1112031;18.4738159;20.2861977;19.1937695;5.1998329;4.6498528;5.0998363
10.6474133;11.1920300;5.0514174;57.0505104;4.7762489;132.8014832;0.54;0.33;-0.1615760;-0.5387297;1.2544742;1.0387000;-0.1359192;0.0754143;0.0845226;0.8559093;0.3784538;1.3747880;1.0502661;0.9396553;27.1540254;39.7284240;21.8935966;21.1136456;18.0538425;4.9998398;4.3998604;6.4997921
6.9312820;11.8929806;8.7222681;56.9605179;4.7737365;123.9870453;0.58;0.39;-0.5246931;-0.4345013;1.2444477;-0.6536003;-0.6318313;-0.4961808;-0.5924820;0.6349675;-0.0281065;1.4187121;1.0356638;0.8689123;26.6858041;43.5711116;21.1336460;20.9486561;16.4114475;4.8998413;4.5998497;5.8498116
8.9080734;-12.5580635;1.2520685;56.9120216;4.7723813;125.4019547;0.57;0.38;0.0903903;0.2849576;1.2918116;1.0453199;-0.0291854;-0.0667049;0.0124049;0.9000612;-0.1994103;1.3259519;1.0478526;0.9219700;28.0053556;40.2765334;20.0512142;21.8660965;16.5989361;5.2498322;4.1498671;6.3497963
3.6791840;6.1746864;-6.7876730;56.4569435;4.7596269;119.4823380;0.60;0.49;1.2603021;0.3416428;0.2203196;0.1124646;0.2530360;-1.0357105;0.2524450;-0.8197762;-0.1728685;1.3242438;1.0720875;0.8750114;28.9579719;43.8250452;16.0014744;22.0085869;18.7213001;5.4998245;4.1998672;4.7998457
0.3986149;-6.1264973;-10.5984802;56.3188286;4.7557425;121.1422272;0.59;0.40;0.7948568;0.2020837;1.0711544;0.1546767;0.9427273;-0.2926335;-0.7381621;0.2750366;0.4958695;1.3490763;0.9991466;0.9308141;28.9159238;41.9093192;20.0987110;19.6562386;17.8188572;5.0498371;4.4998550;5.8498120
8.0234432;-10.6212864;-12.0703506;56.0573540;4.7483711;122.6871185;0.58;0.39;1.1724383;-0.3270819;0.6930220;0.3292885;0.9843337;-0.0925117;-0.3854094;0.1990397;0.7459663;1.4006690;1.0420663;0.8629154;26.6574383;43.2698786;17.1888981;19.3137608;21.2586365;5.3498287;4.5998535;4.9998398
